Date;Country;City;Specie;count;min (ug/m3);max (ug/m3);median (ug/m3)
18-02-2017;CN;Beijing;pm25;438;40.7;187.8;92.2
18-02-2017;US;Manhattan;pm25;96;8.1;41.9;14.9
18-02-2017;CN;Wuhan;pm25;407;44.0;203.9;80.6
18-02-2017;US;Jacksonville;pm25;118;3.1;37.9;13.5
18-02-2017;US;Houston;pm25;96;1.4;25.8;5.2
18-02-2017;CN;Shanghai;pm25;207;2.1;33.0;14.0
19-02-2017;CN;Beijing;pm25;429;3.1;199.9;140.7
19-02-2017;CN;Wuhan;pm25;408;59.3;203.9;131.0
19-02-2017;IN;New Delhi;pm25;24;31.1;160.5;107.7
19-02-2017;US;Manhattan;pm25;95;4.3;37.9;10.5
19-02-2017;US;Jacksonville;pm25;116;0.7;22.5;6.2
19-02-2017;US;Los Angeles;pm25;65;0.2;17.3;6.7
19-02-2017;US;Houston;pm25;96;4.3;25.4;14.9
19-02-2017;CN;Shanghai;pm25;216;10.0;63.2;40.7
20-02-2017;IN;New Delhi;pm25;24;23.9;146.5;111.6
20-02-2017;US;Houston;pm25;73;0.2;11.0;4.3
20-02-2017;US;Manhattan;pm25;95;0.2;44.8;6.9
20-02-2017;CN;Beijing;pm25;393;3.1;90.3;9.1
20-02-2017;US;Jacksonville;pm25;118;2.6;35.4;7.2
20-02-2017;US;Los Angeles;pm25;67;0.2;18.7;6.0
20-02-2017;CN;Wuhan;pm25;408;34.9;240.3;101.9
20-02-2017;CN;Shanghai;pm25;214;9.1;125.2;48.0
21-02-2017;CN;Shanghai;pm25;215;3.1;35.9;20.1
21-02-2017;IN;New Delhi;pm25;24;39.9;131.0;86.4
21-02-2017;US;Manhattan;pm25;96;2.1;45.6;7.9
21-02-2017;CN;Wuhan;pm25;403;7.2;61.3;26.8
21-02-2017;US;Los Angeles;pm25;67;2.4;25.8;13.0
21-02-2017;US;Houston;pm25;71;0.2;13.0;3.6
